PERMNO,date,TICKER,COMNAM,PERMCO,PRC,RET,CFACPR,RETX,sprtrn
12490,19990104,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,183.00000,-0.007458,2,-0.007458,-0.000919
12490,19990105,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,189.62500,0.036202,2,0.036202,0.013582
12490,19990106,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,188.75000,-0.004614,2,-0.004614,0.022140
12490,19990107,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,190.18750,0.007616,2,0.007616,-0.002051
12490,19990108,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,187.56250,-0.013802,2,-0.013802,0.004221
12490,19990111,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,189.25000,0.008997,2,0.008997,-0.008792
12490,19990112,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,185.06250,-0.022127,2,-0.022127,-0.019282
12490,19990113,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,185.50000,0.002364,2,0.002364,-0.004123
12490,19990114,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,180.62500,-0.026280,2,-0.026280,-0.017993
12490,19990115,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,184.93750,0.023875,2,0.023875,0.025631
12490,19990119,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,192.25000,0.039540,2,0.039540,0.007030
12490,19990120,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,194.50000,0.011704,2,0.011704,0.003690
12490,19990121,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,197.00000,0.012853,2,0.012853,-0.017078
12490,19990122,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,179.75000,-0.087563,2,-0.087563,-0.008072
12490,19990125,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,182.00000,0.012517,2,0.012517,0.007174
12490,19990126,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,185.62500,0.019918,2,0.019918,0.014854
12490,19990127,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.31250,-0.039394,2,-0.039394,-0.007299
12490,19990128,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.68750,0.002103,2,0.002103,0.017858
12490,19990129,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,183.25000,0.025533,2,0.025533,0.011277
12490,19990201,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,179.75000,-0.019100,2,-0.019100,-0.005189
12490,19990202,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,176.75000,-0.016690,2,-0.016690,-0.008649
12490,19990203,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,175.25000,-0.008487,2,-0.008487,0.007987
12490,19990204,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,169.56250,-0.032454,2,-0.032454,-0.018537
12490,19990205,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,166.00000,-0.021010,2,-0.021010,-0.007281
12490,19990208,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,167.00000,0.007349,2,0.006024,0.003526
12490,19990209,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,162.75000,-0.025449,2,-0.025449,-0.022215
12490,19990210,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,168.87500,0.037634,2,0.037634,0.006093
12490,19990211,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.50000,0.056995,2,0.056995,0.024919
12490,19990212,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,172.75000,-0.032213,2,-0.032213,-0.019066
12490,19990216,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,172.50000,-0.001447,2,-0.001447,0.009544
12490,19990217,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,170.50000,-0.011594,2,-0.011594,-0.014365
12490,19990218,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,174.25000,0.021994,2,0.021994,0.010825
12490,19990219,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,171.62500,-0.015065,2,-0.015065,0.001568
12490,19990222,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.93750,0.036781,2,0.036781,0.026565
12490,19990223,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,176.93750,-0.005620,2,-0.005620,-0.000755
12490,19990224,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,173.75000,-0.018015,2,-0.018015,-0.013979
12490,19990225,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,173.62500,-0.000719,2,-0.000719,-0.006694
12490,19990226,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,169.75000,-0.022318,2,-0.022318,-0.005373
12490,19990301,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,168.37500,-0.008100,2,-0.008100,-0.001752
12490,19990302,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,167.75000,-0.003712,2,-0.003712,-0.008623
12490,19990303,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,166.75000,-0.005961,2,-0.005961,0.001795
12490,19990304,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,171.00000,0.025487,2,0.025487,0.015427
12490,19990305,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.37500,0.043129,2,0.043129,0.023126
12490,19990308,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.87500,0.002803,2,0.002803,0.005692
12490,19990309,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,182.18750,0.018519,2,0.018519,-0.002253
12490,19990310,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,181.50000,-0.003774,2,-0.003774,0.005469
12490,19990311,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,182.87500,0.007576,2,0.007576,0.008424
12490,19990312,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.00000,-0.026658,2,-0.026658,-0.002381
12490,19990315,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,182.00000,0.022472,2,0.022472,0.009787
12490,19990316,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,181.00000,-0.005495,2,-0.005495,-0.000673
12490,19990317,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.06250,-0.016229,2,-0.016229,-0.006552
12490,19990318,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.62500,-0.002457,2,-0.002457,0.014432
12490,19990319,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,168.56250,-0.051020,2,-0.051020,-0.013110
12490,19990322,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,167.00000,-0.009270,2,-0.009270,-0.001755
12490,19990323,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,165.37500,-0.009731,2,-0.009731,-0.026885
12490,19990324,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,169.50000,0.024943,2,0.024943,0.005110
12490,19990325,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,171.31250,0.010693,2,0.010693,0.016869
12490,19990326,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,172.37500,0.006202,2,0.006202,-0.005574
12490,19990329,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.87500,0.031907,2,0.031907,0.021336
12490,19990330,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,178.56250,0.003865,2,0.003865,-0.007190
12490,19990331,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.25000,-0.007350,2,-0.007350,-0.011055
12490,19990401,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.00000,-0.001410,2,-0.001410,0.005714
12490,19990405,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,183.93750,0.039195,2,0.039195,0.021179
12490,19990406,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,183.00000,-0.005097,2,-0.005097,-0.002445
12490,19990407,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,186.50000,0.019126,2,0.019126,0.006829
12490,19990408,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,187.00000,0.002681,2,0.002681,0.012880
12490,19990409,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,186.31250,-0.003676,2,-0.003676,0.003252
12490,19990412,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,183.43750,-0.015431,2,-0.015431,0.007632
12490,19990413,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,180.00000,-0.018739,2,-0.018739,-0.006492
12490,19990414,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,179.37500,-0.003472,2,-0.003472,-0.015839
12490,19990415,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,177.75000,-0.009059,2,-0.009059,-0.004200
12490,19990416,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,170.37500,-0.041491,2,-0.041491,-0.002918
12490,19990419,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,166.75000,-0.021277,2,-0.021277,-0.022381
12490,19990420,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,169.75000,0.017991,2,0.017991,0.012943
12490,19990421,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,171.87500,0.012518,2,0.012518,0.022930
12490,19990422,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,194.50000,0.131636,2,0.131636,0.016989
12490,19990423,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,199.75000,0.026992,2,0.026992,-0.001450
12490,19990426,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,209.87500,0.050688,2,0.050688,0.002351
12490,19990427,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,212.00000,0.010125,2,0.010125,0.002029
12490,19990428,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,205.00000,-0.033019,2,-0.033019,-0.008725
12490,19990429,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,204.81250,-0.000915,2,-0.000915,-0.005981
12490,19990430,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,209.18750,0.021361,2,0.021361,-0.005697
12490,19990503,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,212.25000,0.014640,2,0.014640,0.014567
12490,19990504,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,212.00000,-0.001178,2,-0.001178,-0.016706
12490,19990505,IBM,INTERNATIONAL BUSINESS MACHS COR,20990,212.12500,0.000590,2,0.000590,0.011494
